"Rank"	"Grade "	"Username"	"Uploads"	"Subs"	"Video Views"	"Date"	"Category"
"103rd"	"B+ "	"Mike Korzemba"	249	1075393	178471914	2017-12-10	"Sports"
"104th"	"B+ "	"El Día Después"	1530	561180	246987834	2017-12-10	"Sports"
"105th"	"B+ "	"MMAFightingonSBN"	4922	551257	396384425	2017-12-10	"Sports"
"106th"	"B+ "	"WWE WORLD"	1831	260316	76292537	2017-12-10	"Sports"
"107th"	"B+ "	"Trish Stratus WWE Superstar Fan…"	434	170634	142214859	2017-12-10	"Sports"
"108th"	"B+ "	"Snooker Planet"	622	NA	91908078	2017-12-10	"Sports"
"109th"	"B+ "	"X Wire HIGHLIGHTS"	153	5159	3313015	2017-12-10	"Sports"
"110th"	"B+ "	"RedConectate"	75	189378	106927391	2017-12-10	"Sports"
"111th"	"B+ "	"Gatorade Mexico"	816	17075	40126030	2017-12-10	"Sports"
"112th"	"B+ "	"MoroccoTalksFootball"	271	96503	35746355	2017-12-10	"Sports"
"113th"	"B+ "	"NilcoBax Ω"	1516	1251260	397370130	2017-12-10	"Sports"
"114th"	"B+ "	"JFcombat"	86	47023	50926156	2017-12-10	"Sports"
"115th"	"B+ "	"True Gym"	204	806608	169274861	2017-12-10	"Sports"
"116th"	"B+ "	"Tentando De Novo"	65	19181	10891760	2017-12-10	"Sports"
"117th"	"B+ "	"Serba Serbi Berita"	3046	21641	28351739	2017-12-10	"Sports"
"118th"	"B+ "	"Cricket Latest"	123	247831	37735665	2017-12-10	"Sports"
"119th"	"B+ "	"ICC"	893	423303	162286596	2017-12-10	"Sports"
"120th"	"B+ "	"WORKOUT"	585	241741	57451663	2017-12-10	"Sports"
"121st"	"B+ "	"STRELKA Уличные Бои /…"	1801	399886	242426154	2017-12-10	"Sports"
"122nd"	"B+ "	"MLB"	259017	960269	1007632870	2017-12-10	"Sports"
"123rd"	"B+ "	"Fazzer"	159	442972	152733462	2017-12-10	"Sports"
"124th"	"B+ "	"Football Boots"	1304	561839	131917157	2017-12-10	"Sports"
"125th"	"B+ "	"ROAD FIGHTING CHAMPIONSHIP"	1756	39814	73628343	2017-12-10	"Sports"
"126th"	"B+ "	"Каналы Футбол 1/…"	19806	193945	99193242	2017-12-10	"Sports"
"127th"	"B+ "	"Rabbitholebd Sports"	855	199717	36815122	2017-12-10	"Sports"
"128th"	"B+ "	"Estadio Videos Play"	3205	96857	55599163	2017-12-10	"Sports"
"129th"	"B+ "	"darriem love"	255	52448	23221763	2017-12-10	"Sports"
"130th"	"B+ "	"Lord Fer LEE"	1667	64520	77972346	2017-12-10	"Sports"
"131st"	"B+  "	"NHL"	36136	810386	530924907	2017-12-10	"Sports"
"132nd"	"B+ "	"اكشن كورة"	324	NA	25041565	2017-12-10	"Sports"
"133rd"	"B+ "	"Sports Time Mx"	2670	48013	59818756	2017-12-10	"Sports"
"134th"	"B+ "	"MrMatador"	72	262540	109372267	2017-12-10	"Sports"
"135th"	"B+ "	"NFL Films"	868	228769	99754087	2017-12-10	"Sports"
"136th"	"B+ "	"キリンビバレッジ"	152	28602	32851413	2017-12-10	"Sports"
"137th"	"B+ "	"なすび屋"	289	55636	45779925	2017-12-10	"Sports"
"138th"	"B+ "	"dodgerfilms"	1496	639474	268356500	2017-12-10	"Sports"
"139th"	"B+ "	"ringpolskapl"	5986	34044	81454346	2017-12-10	"Sports"
"140th"	"B+ "	"WrestlingNewsNow"	321	200313	106025128	2017-12-10	"Sports"
"141st"	"B+ "	"robelinda2"	2416	227773	437082051	2017-12-10	"Sports"
"142nd"	"B+ "	"The Herd with Colin Cowherd"	3183	324845	185198912	2017-12-10	"Sports"
"143rd"	"B+ "	"Xô Tít"	70	66207	11643712	2017-12-10	"Sports"
"144th"	"B+ "	"Football Daily"	2228	1235495	502264442	2017-12-10	"Sports"
"145th"	"B+ "	"TOP TIP TOP MMA"	716	254962	151686223	2017-12-10	"Sports"
"146th"	"B+ "	"Ganar, Gustar, Golear"	14	23200	11967008	2017-12-10	"Sports"
"147th"	"B+ "	"IPL"	2719	402396	192945350	2017-12-10	"Sports"
"148th"	"B+ "	"سكيتشات كرة القدم"	50	288340	66109507	2017-12-10	"Sports"
"149th"	"B+ "	"iceribbon"	541	28775	18814772	2017-12-10	"Sports"
" 150th"	"B+ "	"Best Sports Vines"	134	258647	137965898	2017-12-10	"Sports"
"151st"	"B+ "	"TMZSports"	5310	277501	309474656	2017-12-10	"Sports"
"152nd"	"B+ "	"Koo Koo"	59	22827	8196604	2017-12-10	"Sports"
"153rd"	"B+ "	"WrestletalkTV"	2767	420520	172400189	2017-12-10	"Sports"
